Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Seniority_Days,ChildrenTotal,HasChildren,TotalSpend,TotalPurchases,TotalCampaignsAccepted,WebEngagement,R_Score,F_Score,M_Score,RFM_Score,RFM_Segmento
Graduation,Alone,0.5036248705403378,0,0,0.5858585858585859,0.4253181513730743,0.44221105527638194,0.3165217391304348,0.6640926640926641,0.33460076045627374,0.2430939226519337,0.2,0.2962962962962963,0.3571428571428571,0.3076923076923077,0.35000000000000003,0,0,0,0,0,0,1,0.6964285714285713,0.948497854077254,0,0,0.6396825396825397,0.5813953488372093,0.0,1.1428571428571428,2,4,4,10,Campeões
Graduation,Alone,0.39832505981929217,1,1,0.38383838383838387,0.007367716008037508,0.005025125628140704,0.003478260869565217,0.007722007722007722,0.0038022813688212928,0.016574585635359115,0.13333333333333333,0.037037037037037035,0.03571428571428571,0.15384615384615385,0.25,0,0,0,0,0,0,0,0.7499999999999999,0.16165951359084474,2,1,0.00873015873015873,0.13953488372093023,0.0,0.2,3,1,1,5,Em risco
Graduation,Partner,0.6239330738187921,0,0,0.26262626262626265,0.2853315472203617,0.24623115577889448,0.0736231884057971,0.4285714285714286,0.07984790874524715,0.11602209944751381,0.06666666666666667,0.2962962962962963,0.07142857142857142,0.7692307692307693,0.2,0,0,0,0,0,0,0,0.5535714285714285,0.44635193133047224,0,0,0.305952380952381,0.4883720930232558,0.0,2.0,3,3,3,9,Leais
Graduation,Partner,0.22245634084496982,1,0,0.26262626262626265,0.007367716008037508,0.020100502512562814,0.011594202898550725,0.03861003861003861,0.011406844106463879,0.013812154696132596,0.13333333333333333,0.07407407407407407,0.0,0.3076923076923077,0.30000000000000004,0,0,0,0,0,0,0,0.2142857142857143,0.1988555078683838,1,1,0.01904761904761905,0.18604651162790697,0.0,0.3333333333333333,3,1,1,5,Em risco
Postgraduate,Partner,0.5050087496875111,1,0,0.9494949494949496,0.115874079035499,0.21608040201005024,0.06840579710144927,0.1776061776061776,0.10266159695817491,0.04143646408839779,0.3333333333333333,0.18518518518518517,0.10714285714285714,0.46153846153846156,0.25,0,0,0,0,0,0,0,0.2678571428571428,0.23032904148784006,1,1,0.16547619047619047,0.4418604651162791,0.0,1.0,1,3,3,7,Potencial
Postgraduate,Partner,0.5426859755008749,0,1,0.16161616161616163,0.348292029470864,0.21105527638190955,0.05681159420289855,0.0,0.1596958174904943,0.03867403314917127,0.13333333333333333,0.2222222222222222,0.14285714285714285,0.7692307692307693,0.30000000000000004,0,0,0,0,0,0,0,0.5178571428571429,0.4191702432045785,1,1,0.28214285714285714,0.5116279069767442,0.0,1.0,4,4,3,11,Campeões
Graduation,Alone,0.4812774543766294,0,1,0.3434343434343435,0.15740120562625587,0.32663316582914576,0.09507246376811594,0.19305019305019305,0.18631178707224336,0.07458563535911603,0.26666666666666666,0.25925925925925924,0.10714285714285714,0.5384615384615385,0.30000000000000004,0,0,0,0,0,0,0,0.4464285714285714,0.8483547925608015,1,1,0.23214285714285715,0.4883720930232558,0.0,1.1666666666666667,3,3,3,9,Leais
Postgraduate,Partner,0.2832398842898468,1,0,0.32323232323232326,0.050904219691895514,0.05025125628140704,0.03246376811594203,0.011583011583011584,0.0038022813688212928,0.06353591160220995,0.13333333333333333,0.14814814814814814,0.0,0.3076923076923077,0.4,0,0,0,0,0,0,0,0.1964285714285714,0.5965665236051505,1,1,0.06507936507936507,0.23255813953488372,0.0,0.5,3,2,2,7,Potencial
Postgraduate,Partner,0.2555355165886933,1,0,0.19191919191919193,0.009377093101138647,0.0,0.013913043478260868,0.011583011583011584,0.011406844106463879,0.0055248618784530384,0.06666666666666667,0.1111111111111111,0.0,0.15384615384615385,0.45,0,0,0,0,0,0,1,0.3928571428571428,0.5550786838340489,1,1,0.01626984126984127,0.13953488372093023,0.0,0.3333333333333333,4,1,1,6,Potencial
Postgraduate,Partner,0.034980893539516444,1,1,0.686868686868687,0.018754186202277295,0.0,0.003478260869565217,0.003861003861003861,0.0038022813688212928,0.03591160220994475,0.06666666666666667,0.037037037037037035,0.0,0.0,1.0,1,0,0,0,0,0,0,0.8214285714285713,0.1545064377682408,2,1,0.01746031746031746,0.046511627906976744,0.25,0.05,2,1,1,4,Em risco
Graduation,Partner,0.44803757008678263,1,0,0.11111111111111112,0.003348961821835231,0.02512562814070352,0.003478260869565217,0.0,0.0076045627376425855,0.0027624309392265192,0.06666666666666667,0.037037037037037035,0.0,0.15384615384615385,0.35000000000000003,0,0,0,0,0,0,0,0.2321428571428571,0.3233190271816886,1,1,0.005555555555555556,0.09302325581395349,0.0,0.14285714285714285,4,1,1,6,Potencial
Undergraduate,Partner,0.051516017285096964,0,0,0.595959595959596,0.004018754186202277,0.08040201005025126,0.006376811594202898,0.04247104247104247,0.0038022813688212928,0.04419889502762431,0.06666666666666667,0.07407407407407407,0.0,0.23076923076923078,0.4,0,0,0,0,0,0,0,0.3571428571428571,0.8483547925608015,0,0,0.022222222222222223,0.13953488372093023,0.0,0.25,2,1,1,4,Em risco
Graduation,Alone,0.5473286668333274,0,0,0.8282828282828284,0.12993971868720697,0.3065326633165829,0.2782608695652174,0.8687258687258688,0.42585551330798477,0.08287292817679558,0.06666666666666667,0.1111111111111111,0.14285714285714285,0.6153846153846154,0.1,0,0,0,0,0,0,0,0.6607142857142857,0.3233190271816886,0,0,0.4353174603174603,0.37209302325581395,0.0,1.5,1,3,4,8,Leais
Postgraduate,Alone,0.5144816256562265,1,1,0.5353535353535354,0.15606162089752176,0.010050251256281407,0.03072463768115942,0.011583011583011584,0.019011406844106463,0.03867403314917127,0.2,0.2222222222222222,0.03571428571428571,0.38461538461538464,0.30000000000000004,0,0,0,0,0,0,0,0.7857142857142857,0.3233190271816886,2,1,0.12103174603174602,0.3488372093023256,0.0,1.0,2,2,2,6,Potencial
Graduation,Partner,0.13921824220563553,0,0,0.38383838383838387,0.0020093770931011385,0.07035175879396985,0.009855072463768115,0.02316602316602317,0.0038022813688212928,0.013812154696132596,0.06666666666666667,0.037037037037037035,0.0,0.23076923076923078,0.4,0,0,0,0,0,0,0,0.1607142857142857,0.896995708154507,0,0,0.01626984126984127,0.11627906976744186,0.0,0.125,3,1,1,5,Em risco
Postgraduate,Alone,0.7238134352344558,0,0,0.23232323232323235,0.6738111185532485,0.11055276381909548,0.06666666666666667,0.22779922779922782,0.2585551330798479,0.12430939226519336,0.06666666666666667,0.25925925925925924,0.21428571428571427,0.9230769230769231,0.15000000000000002,0,0,1,1,0,0,1,0.8928571428571427,0.8326180257510734,0,0,0.5198412698412699,0.6046511627906976,0.5,2.3333333333333335,4,4,4,12,Campeões
