Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Seniority_Days,ChildrenTotal,HasChildren,TotalSpend,TotalPurchases,TotalCampaignsAccepted,WebEngagement,R_Score,F_Score,M_Score,RFM_Score,RFM_Segmento
Graduation,Alone,0.3169282722044215,0,0,0.3060842175592965,0.9795288821606531,1.5520390417410415,1.7358592823170733,2.467682078351707,1.4708450354977292,0.8484906326275719,0.36010788256082454,1.405693307954286,2.6375958117320986,-0.5584341871918901,0.6900381319481593,0,0,0,0,0,0,1,1.0152770876452075,1.530928048274385,0,0,1.6831333378999072,1.329744235158283,-0.43950346739455076,1.1428571428571428,2,4,4,10,Campeões
Graduation,Alone,-0.25543222215031613,1,1,-0.3851839351705396,-0.8722827909672857,-0.6370253800553365,-0.7260632747815089,-0.6518268555101215,-0.633133769048936,-0.7317543137088424,-0.16771822988834184,-1.1160382367805681,-0.5849701510461365,-1.1749144980338426,-0.13897636242800399,0,0,0,0,0,0,0,1.2716698903098476,-1.1898892964774588,2,1,-0.9617769147468427,-1.162163098558478,-0.43950346739455076,0.2,3,1,1,5,Em risco
Graduation,Partner,0.9708673650847072,0,0,-0.7999448268084413,0.35929067753927624,0.5707343009357686,-0.17441025735756732,1.3483288726718743,-0.14946048064740378,-0.037988239707489796,-0.6955443423375082,1.405693307954286,-0.2269072662929993,1.2910067453339673,-0.5534836096160857,0,0,0,0,0,0,0,0.3315629472061678,-0.2054481117399735,0,0,0.2841587954622238,0.8051321649021228,-0.43950346739455076,2.0,3,3,3,9,Leais
Graduation,Partner,-1.2113722779244065,1,0,-0.7999448268084413,-0.8722827909672857,-0.5615403999933924,-0.662235652930805,-0.5050264350930943,-0.5847664402087828,-0.7510255935422133,-0.16771822988834184,-0.7557908732470175,-0.9430330357992737,-0.5584341871918901,0.2755308847600777,0,0,0,0,0,0,0,-1.2922581363365517,-1.061268840180099,1,1,-0.9185268099865814,-0.8998570634303978,-0.43950346739455076,0.3333333333333333,3,1,1,5,Em risco
Postgraduate,Partner,0.32445039164015016,1,0,1.5503668924730014,-0.3915239912129169,0.41976434081188047,-0.21544229997587705,0.15557545678352824,-0.00435849412694412,-0.5583127952085042,1.4157601074591573,0.3249512173536342,0.1311556184601379,0.05804612365006237,-0.13897636242800399,0,0,0,0,0,0,0,-1.0358653336719117,-0.9524361463900252,1,1,-0.3047080155044111,0.5428261297740428,-0.43950346739455076,1.0,1,3,3,7,Potencial
Postgraduate,Partner,0.5292461595032155,0,1,-1.1455789031733592,0.6382494872732927,0.39460268079123245,-0.3066246169054542,-0.6885269606143783,0.35839647217420506,-0.5775840750418751,-0.16771822988834184,0.6851985808871848,0.4892185032132751,1.2910067453339673,0.2755308847600777,0,0,0,0,0,0,0,0.16063441209640786,-0.29943998364958263,1,1,0.18435086140008225,0.9362851824661629,-0.43950346739455076,1.0,4,4,3,11,Campeões
Graduation,Alone,0.1954581757681057,0,1,-0.5234375657165068,-0.20752988266494865,0.9733208612661369,-0.00572297103784965,0.22897566699204186,0.5276821231147413,-0.32705743720805336,0.8879339950099909,1.0454459444207354,0.1311556184601379,0.3662862790710386,0.2755308847600777,0,0,0,0,0,0,0,-0.18122265812311206,1.1846422043968776,1,1,-0.025245800130414903,0.8051321649021228,-0.43950346739455076,1.1666666666666667,3,3,3,9,Leais
Postgraduate,Partner,-0.8809813803860774,1,0,-0.5925643809894904,-0.6793857416831254,-0.4105704398695043,-0.49810748245756614,-0.6334768029579931,-0.633133769048936,-0.40414255654153697,-0.16771822988834184,-0.035296146179916395,-0.9430330357992737,-0.5584341871918901,1.104545379136241,0,0,0,0,0,0,0,-1.3777224038914317,0.31398065407628756,1,1,-0.7255648041331079,-0.6375510283023178,-0.43950346739455076,0.5,3,2,2,7,Potencial
Postgraduate,Partner,-1.0315693585090848,1,0,-1.0418886802638838,-0.8633798502310936,-0.6621870400759845,-0.6439991895448895,-0.6334768029579931,-0.5847664402087828,-0.808839433042326,-0.6955443423375082,-0.39554350971346697,-0.9430330357992737,-1.1749144980338426,1.5190526263243227,0,0,0,0,0,0,1,-0.437615460787752,0.17051937589846308,1,1,-0.930171068960498,-1.162163098558478,-0.43950346739455076,0.3333333333333333,4,1,1,6,Potencial
Postgraduate,Partner,-2.2304010773529956,1,1,0.6517182939242145,-0.8218327934621976,-0.6621870400759845,-0.7260632747815089,-0.6701769080622499,-0.633133769048936,-0.596855354875246,-0.6955443423375082,-1.1160382367805681,-0.9430330357992737,-1.7913948088757952,6.0786323453932205,1,0,0,0,0,0,0,1.6135269605293674,-1.2146239996115664,2,1,-0.9251806722573909,-1.6867751688146382,1.033230290064599,0.05,2,1,1,4,Em risco
